ID,Nome,Tipo,Documento,Email,Telefone,Endereco,Status
35,Sr. Benicio Aparecida,Fornecedor,60.781.934/0001-30,gustavo79@example.net,+55 (021) 7700 3390,"Esplanada de Souza, Guaratã, 83512089 Aparecida / ES",Ativo
36,Davi Lucas Ribeiro,Cliente,025.487.619-67,bmacedo@example.com,+55 (081) 5928-1035,"Trevo Maysa da Cunha, 3, Vila Madre Gertrudes 4ª Seção, 82253-341 Pacheco / ES",Inativo
37,Isabella Nogueira,Cliente,326.507.489-74,lorenzoda-mata@example.net,+55 31 1398 2657,"Área Olivia Vasconcelos, 93, Vale Do Jatoba, 73058117 Câmara das Flores / RS",Ativo
38,Guilherme Farias,Cliente,612.450.978-49,vitoriacastro@example.org,+55 61 8738-9282,"Fazenda Maysa Castro, 14, Boa Viagem, 97107135 Nogueira Alegre / RN",Ativo
39,Yuri Santos,Fornecedor,56.140.378/0001-45,da-conceicaoravy@example.org,(084) 7637 8869,"Passarela Larissa da Paz, 167, Ermelinda, 57306-992 Duarte da Serra / ES",Ativo
40,Marcelo Ramos,Cliente,197.584.602-85,viniciuspastor@example.net,+55 (061) 5663 9541,"Área de da Paz, Vila Dos Anjos, 44186-102 Sousa / SC",Inativo
41,Yago Cirino,Fornecedor,058.214.396-98,email_invalid,ABC123,"Trevo Guilherme Rocha, 948, Vila Fumec, 42524167 Sá Grande / AP",
42,Samuel da Paz,Fornecedor,71.490.623/0001-38,manuella84@example.com,0800 946 0569,"Parque Isaac Gomes, 5, Varzea Da Palma, 55475-087 Rodrigues / PI",Ativo
43,Aylla Novais,Cliente,712.540.896-67,maria-isiscostela@example.org,0300 626 5150,"Trevo Anthony Almeida, 27, Salgado Filho, 93865683 Silva dos Dourados / AM",Ativo
44,Dr. Davi Luiz Moraes,Fornecedor,96.580.314/0001-80,matteo13@example.com,0300 932 3597,"Rua Vasconcelos, 79, Vila Trinta E Um De Março, 33271-569 Cardoso / CE",Inativo
45,Enzo Gabriel da Cunha,Fornecedor,93.468.752/0001-62,pereirapaulo@example.org,+55 (081) 7865 5600,"Morro Rafael Ribeiro, 519, Bandeirantes, 34926386 Caldeira das Pedras / RR",Inativo
46,João Guilherme Ramos,Cliente,850.967.423-00,aparecidaravy@example.net,+55 21 5141-7620,"Esplanada de da Mata, 201, Beira Linha, 01718239 Pimenta da Prata / RS",Inativo
47,Sra. Milena Cardoso,Cliente,542.078.136-08,ana-liviacaldeira@example.org,+55 (084) 5933-9914,"Lago Paulo Cunha, 8, Vila Fumec, 14883-569 da Costa Alegre / TO",Inativo
48,Maria Alice Cavalcanti,Cliente,396.718.254-19,kamilly55@example.com,(011) 7948-8136,"Sítio de da Rosa, Santa Helena, 67600-824 Montenegro / DF",Ativo
49,Maria Cecília Vieira,Cliente,651.043.872-08,benicio35@example.org,+55 (061) 9385 5149,"Estrada de Araújo, 5, Vila Cloris, 24982-071 da Costa da Praia / PE",Inativo
50,Gael Barbosa,Cliente,827.064.359-92,augusto68@example.com,+55 (041) 6380-5502,"Condomínio Vargas, 89, Copacabana, 26637-402 da Rocha de Farias / SC",Inativo
51,Maria Luísa Novaes,Fornecedor,40.782.513/0001-16,iguerra@example.com,(084) 1681-2548,"Morro Apollo Silveira, 78, Guarani, 44391581 Pastor / PB",Ativo
52,Pedro Henrique Aragão,Fornecedor,05.869.247/0001-62,gabriellymendonca@example.org,0900-281-0808,"Condomínio de da Cunha, 84, Jardim Vitoria, 93820933 Araújo do Amparo / RJ",Inativo
53,Dr. André Correia,Cliente,19.238.605/0001-43,email_invalid,ABC123,"Núcleo Maria Helena Camargo, 80, Camponesa 1ª Seção, 51305-286 Garcia da Mata / AC",
54,Marcelo Azevedo,Fornecedor,72.096.134/0001-69,maria-alice53@example.com,+55 (031) 1786-5744,"Fazenda de Macedo, 87, Universo, 66631989 Sales de Santos / AM",Ativo
55,Sara Jesus,Fornecedor,87.019.426/0001-75,vinicius74@example.net,0500-717-8851,"Fazenda de Porto, 78, São Cristóvão, 03968-245 Aparecida / DF",Ativo
56,Benjamim Marques,Fornecedor,70.645.132/0001-56,maria-eduardanunes@example.org,61 9924-4211,"Chácara Gonçalves, Vila Oeste, 08529-011 Gomes / MA",Ativo
57,Esther Ramos,Cliente,086.943.217-69,vinicius36@example.net,0500 420 1647,"Lago Alexia Cardoso, Vila Antena Montanhês, 36212786 Camargo da Prata / AP",Ativo
58,Davi Lucca Fernandes,Fornecedor,43.501.798/0001-68,kaiquesampaio@example.org,84 3930-6736,"Via Moraes, 36, Rio Branco, 26368-830 Fogaça Verde / MT",Ativo
59,Luan Martins,Fornecedor,96.305.721/0001-89,gabrielly89@example.com,(084) 3335-1921,"Pátio Ana Laura Souza, 83, Cônego Pinheiro 1ª Seção, 05271377 Silva das Flores / SC",Ativo
60,Luana Garcia,Cliente,694.075.218-85,zoecaldeira@example.org,+55 11 9156-9469,"Recanto Valentim da Paz, Vila Nova Dos Milionarios, 36368-664 Novaes / MS",Ativo
61,Diogo Brito,Fornecedor,79.512.364/0001-00,pvieira@example.com,71 5488 3524,"Praça de Carvalho, 63, Delta, 75487-973 Pinto do Amparo / MG",Inativo
62,José Miguel Nascimento,Fornecedor,80.569.321/0001-40,domda-conceicao@example.com,+55 (081) 9286 2418,"Rodovia Correia, 12, Varzea Da Palma, 96502933 Ferreira / SC",Ativo
63,Raquel Cavalcante,Fornecedor,96.317.054/0001-54,kaiqueoliveira@example.org,51 3071 4793,"Esplanada da Cruz, 63, Vale Do Jatoba, 79637-550 Sampaio / PA",Inativo
64,Luiz Fernando Sales,Cliente,49.673.802/0001-51,email_invalid,ABC123,"Viaduto Ana Lívia Brito, 66, Vila Aeroporto Jaraguá, 87874470 da Rosa / MG",ativo
65,Alexia Pires,Cliente,208.637.954-47,babreu@example.org,+55 (011) 5119-3285,"Rua Daniel Fogaça, 50, Vila Jardim São José, 39472455 Lopes de Gonçalves / AP",Ativo
66,Dr. Gael Guerra,Cliente,209.175.438-23,pedro-miguelfernandes@example.net,84 4206-8869,"Avenida Fogaça, 495, Vila Calafate, 84991-673 Ferreira / RJ",Inativo
67,Breno Moura,Fornecedor,123.568.490-33,email_invalid,ABC123,"Parque Manuella Silveira, 52, Conjunto Novo Dom Bosco, 80496-876 Aragão / RR",ativo
68,André Rodrigues,Cliente,937.582.160-95,macedoisis@example.com,0800 065 6241,"Lagoa de da Mata, 82, Cdi Jatoba, 34843004 Sousa / RO",Ativo
69,Dra. Ana Sophia Garcia,Cliente,368.720.415-44,leandroduarte@example.org,11 7093-8559,"Ladeira de Pacheco, 29, Engenho Nogueira, 39249-088 Sales Alegre / AC",Ativo
70,Theo Correia,Cliente,10.785.492/0001-21,email_invalid,ABC123,"Rodovia Bárbara Oliveira, 40, Vila Petropolis, 15819988 Casa Grande Verde / SP",Desativo
71,Sra. Rebeca Pereira,Cliente,216.843.095-06,vda-conceicao@example.com,+55 (021) 5269 5827,"Distrito Santos, 12, Vila Da Luz, 83080896 Martins de Minas / AM",Ativo
72,Maria Eduarda Pinto,Cliente,439.860.217-87,miguel29@example.org,(031) 2450-1355,"Lago de Silveira, 6, Santa Rosa, 98427294 Camargo da Serra / BA",Inativo
73,Lorena Nogueira,Fornecedor,47.503.289/0001-25,vgoncalves@example.org,+55 71 6358 2105,"Rodovia Josué Brito, 34, Nossa Senhora Aparecida, 05086157 Montenegro / RN",Inativo
74,Théo Costa,Cliente,138.975.260-77,ayla25@example.org,51 3418 9935,"Jardim de Costa, Pedreira Padro Lopes, 91549-461 Almeida / GO",Inativo
75,Sophie Cunha,Fornecedor,40.827.635/0001-81,luisasouza@example.com,51 0086 7830,"Esplanada de Novaes, Cônego Pinheiro 2ª Seção, 00805882 Martins Alegre / AC",Inativo
76,Pedro Lucas Silveira,Cliente,520.839.174-05,fonsecapedro-henrique@example.com,+55 (041) 2276 4241,"Via Henry Gabriel Andrade, Santa Cecilia, 48469487 Correia / BA",Inativo
77,Lucas Gabriel Rocha,Fornecedor,17.468.025/0001-17,leandrofogaca@example.com,(041) 7486-4155,"Estação de Andrade, Vila Nova, 02554-846 Cirino da Praia / CE",Ativo
78,Sr. Pedro Henrique Vasconcelos,Cliente,14.956.273/0001-19,email_invalid,ABC123,"Estação Bianca Caldeira, 615, Alto Barroca, 95668366 Cunha da Prata / PA",ativo
79,Mariane Cardoso,Cliente,67.513.082/0001-49,email_invalid,ABC123,"Núcleo de Farias, 29, Vila Nossa Senhora Do Rosário, 03722-381 Ferreira / RS",
80,Ana Laura Camargo,Cliente,205.416.938-24,pedro-miguelnovaes@example.com,+55 (041) 6629-1335,"Condomínio Olivia Pereira, 2, Nova Suíça, 67104-917 Mendes / BA",Inativo
81,Ana Beatriz Silva,Fornecedor,31.954.062/0001-66,hfreitas@example.org,0500-045-9347,"Viela de Silva, 62, Vila Tirol, 00953479 Novaes / SE",Inativo
82,Lorenzo Albuquerque,Fornecedor,48.605.927/0001-81,agatha22@example.net,0300-331-5340,"Sítio de das Neves, 9, São Jorge 3ª Seção, 85043437 Farias / MT",Inativo
83,Helena Rocha,Cliente,034.712.856-44,jmontenegro@example.org,(071) 3271 2574,"Área de Duarte, 32, Vila Antena, 94010-391 Casa Grande das Pedras / PA",Inativo
84,Olívia da Mota,Fornecedor,47.358.609/0001-09,claragoncalves@example.org,+55 (081) 2049 9982,"Residencial de Novaes, 21, Alpes, 22300-869 Pinto de Minas / TO",Inativo
85,Dra. Maria Luiza Vargas,Fornecedor,58.314.902/0001-82,auroraaparecida@example.com,61 3878-9597,"Jardim de Costa, 97, Alta Tensão 1ª Seção, 61614-764 da Luz / PB",Inativo
86,Diogo Farias,Cliente,172.043.895-14,ufogaca@example.com,+55 (061) 1043 3226,"Lago de Siqueira, 55, Vila Bandeirantes, 64167253 Correia do Galho / MA",Inativo
87,Davi Lucas da Conceição,Fornecedor,08.269.531/0001-96,gcaldeira@example.com,+55 (071) 1161 2795,"Quadra Apollo Araújo, 35, Ouro Preto, 39094739 Cassiano / AC",Inativo
88,Emanuella Abreu,Fornecedor,09.435.127/0001-08,borgesrhavi@example.net,(071) 9827 7912,"Chácara Silva, 87, Aarão Reis, 82100721 Carvalho / PA",Ativo
89,Dra. Gabrielly Leão,Cliente,32.601.594/0001-82,email_invalid,ABC123,"Morro Vitor Hugo Costa, 28, Novo Tupi, 82955-206 Cavalcanti de Minas / CE",Desativo
90,Rodrigo Martins,Cliente,90.135.284/0001-16,email_invalid,ABC123,"Setor Luana Teixeira, 420, Mirtes, 27188-117 Aragão / MA",ativo
91,Bárbara Castro,Fornecedor,17.935.602/0001-33,oliviada-cunha@example.com,0900 702 8623,"Colônia Abreu, 3, Conjunto Paulo Vi, 04972-963 Nascimento da Serra / PR",Inativo
92,Nicole Cardoso,Fornecedor,09.438.172/0001-16,theodoro28@example.org,+55 31 6536 5695,"Distrito Costa, 99, Vila Bandeirantes, 69183-294 Alves do Campo / RS",Ativo
93,Isabelly Viana,Cliente,76.392.480/0001-45,email_invalid,ABC123,"Fazenda Isabela Silva, 5, Jardim Dos Comerciarios, 90597-421 Leão / BA",ativo
94,Olívia Cavalcanti,Fornecedor,56.972.034/0001-00,carvalholeandro@example.org,0800 030 1145,"Núcleo Almeida, 9, Vila Rica, 29880358 Jesus do Sul / SE",Ativo
95,Davi da Rosa,Fornecedor,58.076.342/0001-75,nalmeida@example.net,81 7685 6547,"Estrada de Azevedo, 376, Alto Barroca, 68731005 Rios de Pinto / MG",Ativo
96,Davi Miguel Vargas,Fornecedor,90.846.751/0001-16,ayllarodrigues@example.com,(021) 6711 4041,"Viela de Ramos, Lorena, 74368890 Lima do Sul / RO",Ativo
97,Gabriela Gomes,Fornecedor,32.190.864/0001-00,fernandesleo@example.org,+55 (071) 8498-3026,"Esplanada de Ferreira, 47, Planalto, 74286540 Moura / AC",Ativo
98,Noah Jesus,Fornecedor,72.364.859/0001-90,ryannascimento@example.net,+55 41 4698-0408,"Morro Borges, 20, Mantiqueira, 80710203 da Conceição / MT",Inativo
99,Heitor da Paz,Cliente,259.784.036-00,aurora63@example.org,+55 (011) 8160 4825,"Esplanada Thomas Barbosa, 73, Venda Nova, 69111-084 Cassiano da Prata / MA",Ativo
100,Mariah da Mata,Fornecedor,38.129.750/0001-30,enzosantos@example.org,+55 (031) 7893-2675,"Ladeira Barros, 7, Engenho Nogueira, 20005-791 Caldeira de Goiás / AC",Ativo
101,Sofia Barbosa,Fornecedor,96.245.018/0001-22,bnovaes@example.org,0500-951-6136,"Largo Lopes, 3, Dom Silverio, 03238-519 Abreu dos Dourados / PR",Inativo
102,Sr. Gustavo Henrique Pimenta,Cliente,087.943.152-05,calebe54@example.org,11 3995-2436,"Morro Rafaela Câmara, 26, Pirineus, 63334-741 Ramos / DF",Ativo
103,Lorenzo Lopes,Fornecedor,51.892.763/0001-25,vitor35@example.org,+55 84 6058 0653,"Fazenda de Pereira, 868, Heliopolis, 05511438 Cavalcante Alegre / PE",Inativo
104,Ana Vitória Cavalcanti,Cliente,528.673.901-68,ana-clarapinto@example.com,0900 927 3792,"Residencial Carlos Eduardo Machado, 58, Caiçaras, 66906-333 Melo da Mata / AL",Ativo
105,Luna Garcia,Fornecedor,62.049.873/0001-46,vviana@example.net,51 0055 7510,"Setor Novaes, 31, Conjunto Minas Caixa, 24531-436 Ribeiro de Sá / RS",Inativo
106,Sra. Lavínia Borges,Cliente,51.609.347/0001-77,email_invalid,ABC123,"Via das Neves, 5, Teixeira Dias, 26470-940 da Mota da Prata / RR",Desativo
107,Dr. Yuri Pastor,Fornecedor,08.732.641/0001-42,isaac54@example.net,(021) 5676-7621,"Vereda Davi Miguel Sampaio, 36, Vila Nova Paraíso, 29698-251 Cirino Grande / PB",Inativo
108,Lívia Nunes,Cliente,836.495.120-33,ayllasales@example.org,(061) 3696 3599,"Fazenda de Cassiano, 5, Barro Preto, 73400440 Pires / CE",Inativo
109,Raul da Luz,Cliente,843.075.291-97,duarteemilly@example.com,+55 (011) 4729 8882,"Praça Mirella Lopes, 36, Conjunto Floramar, 84089297 da Cruz / MS",Inativo
110,Ana Lívia Fogaça,Fornecedor,43.865.197/0001-34,pmachado@example.org,(071) 3567 7857,"Trecho de Costa, 580, Novo Aarão Reis, 13933353 da Rosa / AM",Inativo
111,Sr. Thiago Porto,Cliente,891.340.625-05,sousagael@example.net,0800-586-6079,"Residencial de Cirino, 50, Atila De Paiva, 70120982 Freitas da Serra / PI",Ativo
112,Vicente Mendes,Fornecedor,592.137.086-02,email_invalid,ABC123,"Rua Cavalcanti, 508, Barroca, 78029778 Rocha / ES",ativo
113,Brenda Fernandes,Fornecedor,15.786.409/0001-52,ana-vitoria04@example.net,31 3058 6250,"Avenida Miguel Pimenta, 91, Bairro Das Indústrias Ii, 88461-238 Freitas / SP",Inativo
114,Lara Aparecida,Cliente,932.045.817-05,piresbento@example.org,31 4451 3674,"Morro Lima, 643, Vila Rica, 06445-319 Sales / PB",Inativo
115,Agatha Andrade,Cliente,123.859.764-55,asouza@example.com,0500 299 3623,"Estação Lima, 60, Ouro Minas, 88396-151 Novais / SE",Ativo
116,Luiz Felipe Sampaio,Cliente,804.157.326-62,ana-julia31@example.net,81 3998-3203,"Aeroporto Valentim Araújo, 972, Sion, 89566574 Pastor da Mata / MG",Inativo
117,Cauê Gonçalves,Fornecedor,78.946.512/0001-32,emontenegro@example.com,(061) 7687-9241,"Passarela Montenegro, 1, Vila Independencia 1ª Seção, 36661-243 Jesus / AC",Ativo
118,Daniel Novais,Cliente,930.265.478-83,da-costakaique@example.org,(084) 1291 3262,"Praça Fogaça, 747, Eymard, 15753057 Casa Grande de Almeida / AM",Ativo
119,Dr. Vitor Hugo Costa,Fornecedor,18.340.652/0001-30,alvesagatha@example.org,+55 (051) 6395-1220,"Residencial de Novais, 24, Vila Esplanada, 15239-929 da Luz de Lopes / RJ",Inativo
120,Théo Abreu,Cliente,287.346.051-26,mendesvinicius@example.com,+55 (071) 2025-6705,"Vila Sousa, 163, Alípio De Melo, 61773-384 Gomes de da Cruz / RN",Ativo
121,Guilherme Ramos,Fornecedor,60.482.591/0001-02,gaelcamara@example.org,11 8815 0292,"Feira Luiz Henrique Viana, 85, Vila Nova Paraíso, 47651-540 Ribeiro de Goiás / RN",Ativo
122,Maria da Mota,Cliente,102.879.635-86,thalesnogueira@example.org,31 7003 7206,"Loteamento Murilo Rodrigues, 52, Vila Nova Cachoeirinha 3ª Seção, 21311015 Aragão de Duarte / PR",Ativo
123,Maria Luísa Barbosa,Cliente,068.479.135-84,jesuslaura@example.net,0900-693-4368,"Residencial de da Luz, 11, Vila Oeste, 89862371 Andrade / SE",Ativo
124,João Guilherme Guerra,Cliente,801.793.642-78,bfreitas@example.net,+55 51 7545 2253,"Sítio Isis Araújo, 542, Confisco, 86791-743 Rezende / MA",Inativo
125,Miguel Cavalcante,Cliente,372.068.194-78,da-motazoe@example.com,+55 (071) 8829 1566,"Recanto José Miguel Novaes, 2, Calafate, 75817-004 Santos da Praia / SE",Inativo
126,Eduardo Nunes,Fornecedor,50.791.648/0001-00,gomesmirella@example.com,(011) 4651 5924,"Pátio de Cardoso, 21, Santa Cruz, 78576202 Costela / SC",Inativo
127,Vitória Nascimento,Fornecedor,32.168.094/0001-07,oalbuquerque@example.net,(021) 4263-9422,"Ladeira Nunes, 561, Conjunto Lagoa, 49810631 Santos da Praia / PE",Inativo
128,Raul Silveira,Fornecedor,47.081.539/0001-86,lunnadas-neves@example.com,+55 11 3565 3503,"Vila Cunha, 2, Europa, 77105299 Moreira / PI",Ativo
129,Gael Martins,Cliente,183.405.276-90,maria-vitoriadias@example.com,+55 61 2114-1910,"Sítio Moreira, 8, Santa Rita De Cássia, 35648843 Nascimento / SP",Ativo
130,Dra. Mariah Cardoso,Cliente,178.426.530-62,tcavalcante@example.org,+55 (051) 9268-8633,"Lagoa Calebe Carvalho, 5, Mala E Cuia, 67811251 Carvalho / PA",Inativo
131,Dra. Juliana Fernandes,Fornecedor,49.856.012/0001-01,lorenaleao@example.com,+55 51 8877 3970,"Recanto da Rosa, 68, Santa Rita De Cássia, 92299-496 Dias / AL",Ativo
132,Henry Martins,Fornecedor,58.146.923/0001-36,xazevedo@example.org,81 5604 3315,"Aeroporto Rocha, 57, Nova Pampulha, 72979376 da Mata / MS",Inativo
133,Sr. Augusto Siqueira,Cliente,065.718.923-59,matteo81@example.com,0800 071 5772,"Vereda da Luz, 8, Vila Mangueiras, 15544-493 Azevedo de Fernandes / GO",Ativo
134,Dr. Igor Sales,Fornecedor,382.609.471-96,email_invalid,ABC123,"Rodovia Yago Oliveira, 35, Canadá, 94581250 Costela do Amparo / PB",
135,Bruno Duarte,Cliente,690.421.785-58,laraduarte@example.net,84 6531-9971,"Área Garcia, 30, Santa Sofia, 78704-402 Casa Grande / ES",Inativo
136,Anna Liz Leão,Fornecedor,29.537.140/0001-85,aaragao@example.net,+55 41 3672 9096,"Distrito Pacheco, 41, Etelvina Carneiro, 87253578 Teixeira / AL",Inativo
137,Rebeca Cassiano,Fornecedor,53.109.672/0001-04,qsilva@example.com,+55 81 8143 0009,"Colônia Bento Vasconcelos, 38, Serra Do Curral, 71167420 Nunes / PB",Inativo
138,Murilo Cavalcante,Cliente,157.803.249-05,jfarias@example.net,84 4936 6376,"Colônia de Sampaio, 51, Dom Cabral, 45275514 Correia de Minas / MA",Inativo
139,Stephany Fogaça,Fornecedor,62.357.418/0001-08,theodoro88@example.org,+55 84 5314-8577,"Condomínio Montenegro, 74, Conjunto Serra Verde, 09396277 Fogaça da Serra / PA",Ativo
140,Matheus Peixoto,Cliente,087.432.156-53,noah45@example.com,+55 61 7117-9685,"Praia Costela, 41, Rio Branco, 81254-558 Siqueira / SE",Ativo
141,Sra. Ana Liz Carvalho,Fornecedor,896.314.527-19,email_invalid,ABC123,"Chácara Rael Barros, 55, Flavio Marques Lisboa, 21845754 Dias / SP",ativo
142,Milena Fonseca,Fornecedor,21.607.945/0001-46,andrerezende@example.com,31 4598-1982,"Lagoa Costela, 571, Vila Fumec, 67421898 Mendonça / SE",Inativo
143,Maria Júlia Lima,Cliente,402.785.916-20,jsouza@example.net,+55 (021) 3267 4727,"Passarela Lavínia Macedo, 874, Jardim Leblon, 82404-659 Caldeira de Garcia / SC",Inativo
144,Luan Nascimento,Fornecedor,45.316.870/0001-02,pereiraanthony-gabriel@example.org,11 1842 2819,"Chácara Enzo Porto, 876, Ventosa, 26897069 Câmara / PI",Ativo
145,Dr. Vicente da Rocha,Cliente,027.695.814-49,afarias@example.org,+55 (081) 5549 2978,"Vila Caldeira, 372, Coração De Jesus, 20065-184 Sales / BA",Inativo
146,Rael Moraes,Fornecedor,46.795.380/0001-07,maria-isisribeiro@example.net,+55 81 9585 2352,"Aeroporto de Cardoso, 26, Camponesa 2ª Seção, 92954690 Sá / GO",Inativo
147,Gustavo Barbosa,Cliente,734.516.029-70,pbarros@example.net,(061) 9948 7288,"Residencial de Pires, 7, São Gonçalo, 92061478 Santos dos Dourados / TO",Ativo
148,Guilherme Campos,Cliente,953.170.824-04,natalia17@example.net,(051) 0065 3992,"Fazenda Pereira, 27, Cabana Do Pai Tomás, 74169775 Peixoto de da Paz / AM",Ativo
149,Rhavi Sales,Cliente,614.980.572-76,matteojesus@example.com,0800-483-7427,"Ladeira de Mendonça, 889, Vila Aeroporto, 30533544 Borges do Amparo / DF",Inativo
